Fecha,Hora,Auto_Nombre,Cant_Veh,dia,mes,anio
2021-03-01,21,AU Dellepiane,1993.0,0,3,2021
2021-03-01,22,AU 4  Lugones,1940.5,0,3,2021
2021-03-01,22,AU 5 Cantilo,1843.5,0,3,2021
2021-03-01,22,AU 9 de Julio Sur,1298.5,0,3,2021
2021-03-01,22,AU Dellepiane,1397.0,0,3,2021
2021-03-01,23,AU 4  Lugones,1332.5,0,3,2021
2021-03-01,23,AU 5 Cantilo,1464.5,0,3,2021
2021-03-01,23,AU 9 de Julio Sur,886.5,0,3,2021
2021-03-01,23,AU Dellepiane,1014.0,0,3,2021
2021-03-02,0,AU 4  Lugones,1051.5,1,3,2021
2021-03-02,0,AU 5 Cantilo,1235.0,1,3,2021
2021-03-02,0,AU 9 de Julio Sur,726.0,1,3,2021
2021-03-02,0,AU Dellepiane,755.0,1,3,2021
2021-03-02,1,AU 4  Lugones,621.0,1,3,2021
2021-03-02,1,AU 5 Cantilo,795.0,1,3,2021
2021-03-02,1,AU 9 de Julio Sur,463.0,1,3,2021
2021-03-02,1,AU Dellepiane,503.0,1,3,2021
2021-03-02,2,AU 4  Lugones,378.5,1,3,2021
2021-03-02,2,AU 5 Cantilo,496.5,1,3,2021
2021-03-02,2,AU 9 de Julio Sur,326.0,1,3,2021
2021-03-02,2,AU Dellepiane,384.0,1,3,2021
2021-03-02,3,AU 4  Lugones,344.5,1,3,2021
2021-03-02,3,AU 5 Cantilo,364.5,1,3,2021
2021-03-02,3,AU 9 de Julio Sur,273.5,1,3,2021
2021-03-02,3,AU Dellepiane,335.0,1,3,2021
2021-03-02,4,AU 4  Lugones,591.5,1,3,2021
2021-03-02,4,AU 5 Cantilo,439.5,1,3,2021
2021-03-02,4,AU 9 de Julio Sur,461.5,1,3,2021
2021-03-02,4,AU Dellepiane,495.0,1,3,2021
2021-03-02,5,AU 4  Lugones,1819.5,1,3,2021
2021-03-02,5,AU 5 Cantilo,925.0,1,3,2021
2021-03-02,5,AU 9 de Julio Sur,967.0,1,3,2021
2021-03-02,5,AU Dellepiane,1049.0,1,3,2021
2021-03-02,6,AU 4  Lugones,4158.5,1,3,2021
2021-03-02,6,AU 5 Cantilo,2055.0,1,3,2021
2021-03-02,6,AU 9 de Julio Sur,1829.5,1,3,2021
2021-03-02,6,AU Dellepiane,1735.0,1,3,2021
2021-03-02,7,AU 4  Lugones,7141.5,1,3,2021
2021-03-02,7,AU 5 Cantilo,4307.0,1,3,2021
